Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,8.100000,8.120000,8.000000,8.000000,7.191649,2300
2017-01-04,7.980000,8.310000,7.980000,8.030000,7.218618,9100
2017-01-05,8.250000,8.250000,7.990000,7.990000,7.182660,12900
2017-01-06,7.990000,7.990000,7.990000,7.990000,7.182660,0
2017-01-09,8.000000,8.110000,7.980000,8.030000,7.218618,15300
2017-01-10,8.000000,8.200000,8.000000,8.010000,7.200640,2700
2017-01-11,8.000000,8.150000,8.000000,8.080000,7.263566,9300
2017-01-12,8.080000,8.080000,8.000000,8.000000,7.191649,1500
2017-01-13,8.010000,8.320000,8.010000,8.020000,7.209629,2000
2017-01-17,8.100000,8.140000,8.100000,8.100000,7.281546,8000
2017-01-18,8.150000,8.200000,8.150000,8.180000,7.353463,18400
2017-01-19,8.130000,8.240000,8.130000,8.130000,7.308515,6100
2017-01-20,8.300000,8.300000,8.140000,8.140000,7.317504,2600
2017-01-23,8.150000,8.190000,8.150000,8.150000,7.326492,5200
2017-01-24,8.170000,8.170000,8.170000,8.170000,7.344472,4500
2017-01-25,8.360000,8.410000,8.360000,8.370000,7.524263,5800
2017-01-26,8.630000,8.630000,8.380000,8.510000,7.650117,44400
2017-01-27,8.370000,8.630000,8.370000,8.390000,7.542243,25000
2017-01-30,8.340000,8.630000,8.300000,8.360000,7.515273,45300
2017-01-31,8.370000,8.370000,8.370000,8.370000,7.524263,100
2017-02-01,8.400000,8.500000,8.400000,8.400000,7.551231,4100
2017-02-02,8.250000,8.610000,8.250000,8.300000,7.461337,11400
2017-02-03,8.500000,8.580000,8.330000,8.580000,7.713044,3200
2017-02-06,8.330000,8.620000,8.330000,8.350000,7.506285,6600
2017-02-07,8.320000,8.620000,8.310000,8.620000,7.749001,7100
2017-02-08,8.220000,8.300000,8.220000,8.300000,7.461337,15900
2017-02-09,8.420000,8.620000,8.400000,8.430000,7.578201,54700
2017-02-10,8.360000,8.360000,8.360000,8.360000,7.515273,7600
2017-02-13,8.360000,8.600000,8.350000,8.500000,7.641129,22000
